TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-08-21 07:52:33,1787298753295,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,nl967-1787298753295-b3c10f4b482b,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,345,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXARRQYDRA192H5RKQAKV,7h5ZChTnMNPw,1,,
2026-08-21 07:52:33,1787298753272,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,9gs4m-1787298753272-081c303dc7f6,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,7,iad1,320,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXARE6ENJK969CBSN232W,qohtDSwBu4Gb,1,,
2026-08-21 07:52:33,1787298753272,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,9gs4m-1787298753272-081c303dc7f6,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,345,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAQY1F0Y0Z8NKYMXM6WY,7h5ZChTnMNPw,1,,
2026-08-21 07:52:33,1787298753251,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,5p8d4-1787298753251-c3199d725535,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,5,iad1,339,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAQ7XV03P3TA1RFMZRHN,0wS2QYpHHVTK,1,,
2026-08-21 07:52:33,1787298753251,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,5p8d4-1787298753251-c3199d725535,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,7,iad1,371,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAQR5SX5HVA1W2568KK4,ixQP0En4HAtx,1,,
2026-08-21 07:52:33,1787298753246,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,gfw92-1787298753246-ae77df7608f1,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,345,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAQ8MEPV9SP2PE2F20MY,7h5ZChTnMNPw,1,,
2026-08-21 07:52:33,1787298753246,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,gfw92-1787298753246-ae77df7608f1,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,7,iad1,320,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAQTGFT3Z4D7MPN680Q4,qohtDSwBu4Gb,1,,
2026-08-21 07:52:33,1787298753237,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,gfw92-1787298753237-0ea644169e65,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,342,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAPYM7S5N85SCMDVHVXZ,jYwSUfQKo6zE,1,,
2026-08-21 07:52:33,1787298753237,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,gfw92-1787298753237-0ea644169e65,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,370,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAQG2NJK0V7R0MQ7GNCA,ZWTXaH3JLH5o,1,,
2026-08-21 07:52:33,1787298753218,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,s86fq-1787298753218-d76a030f5499,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,275,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAPP74G983CX942EDN16,BdZ1jMk8e3yz,1,,
2026-08-21 07:52:33,1787298753218,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,s86fq-1787298753218-d76a030f5499,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,339,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAP8V10MW3WJD59GVCHW,0wS2QYpHHVTK,1,,
2026-08-21 07:52:33,1787298753210,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,xm87w-1787298753210-c189095cea6d,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,339,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAPTF7KSZ15S2RFM9A29,0wS2QYpHHVTK,1,,
